from,to,length_m,slope
0,1,310401.35526064865,0.002
2,3,9161.64342184545,0.0030562202337230775
4,5,3002.078505067748,0.0026648203857745096
6,7,5036.040357086623,0.003971374052206784
8,9,1500.2983592414694,0.002
10,11,18278.85870580377,0.02565805707831674
12,13,10009.53999038884,0.002997140730623585
14,15,5961.341788056902,0.006038908903382
16,17,736.6302349239796,0.013575331999550631
19,18,753.5739400813693,0.002654019590677518
20,21,8931.874654408506,0.002
22,23,5753.190592057659,0.0027810655225099217
24,25,2021.5586579863025,0.002
26,27,1320.9202071752998,0.018169151981800937
29,28,10711.92041625404,0.04340958314948073
30,12,12773.83331203271,0.002
31,30,6608.340160346017,0.002
32,33,760.0176403795692,0.002
35,34,326.96732259950227,0.06728501131272832
36,37,2287.654865217218,0.0034970310083205594
38,39,254.6164762339414,0.002
40,41,1522.2282871173838,0.0032846584459867117
42,43,1135.4723831558356,0.002642072184672651
44,15,6709.740111982918,0.002
3,13,3949.383007435788,0.002
15,10,6259.081680270399,0.0025562855411257043
45,46,8.196797017945935,0.002
47,45,304.64275104439326,0.002
46,48,1013.7197545315452,0.0039458637183690465
49,47,8.70610971050337,0.002
51,50,937.2218102705518,0.0021339665574178768
24,52,426.6201792297832,0.009376021563774994
48,53,24.403002191376583,0.002
53,54,298.74430117993256,0.002
54,52,15.498922651812745,0.002
56,55,210.35954554050628,0.07606025178885492
57,58,43.9613789100879,0.002
58,59,935.4310003239108,0.002
60,57,3401.6339017444734,0.005585551105383843
61,62,531.5042236934522,0.0188145259326623
5,61,38.24238319902656,0.002
63,64,288.1927571381149,0.002
65,66,806.2780652982722,0.002
67,68,2311.29423865407,0.010816450619700496
69,70,19.537143819720896,0.002
66,69,158.56224014534502,0.002
71,72,1055.9880587589698,0.00852282364876084
73,74,303.9725686376074,0.002
75,76,197.6567300926116,0.002
77,78,1444.2900008590648,0.002077145170440561
79,80,225.4039693953568,0.002
81,80,222.6371916565567,0.002
83,82,508.4686395361341,0.00983344814453336
84,85,270.9079056339939,0.002
86,87,1635.6615357699973,0.002
88,89,120.82807540400069,0.002
90,91,704.522344834884,0.002
92,93,341.42765432805567,0.002
94,95,303.25690180563987,0.002
96,97,901.1343412002724,0.002
98,99,293.04830538597787,0.002
100,101,40.6988871437095,0.002
102,103,342.3690553143972,0.002
104,105,310.57986970437804,0.002
107,106,2115.238743861797,0.0042548388573710955
108,109,1171.3831442414,0.002
110,111,1367.250461677615,0.010970923338797059
112,113,168.22200639433544,0.002
114,115,152.1612259261092,0.002
116,31,5208.392373768762,0.002
116,117,33534.75915361033,0.016937649601066227
118,119,725.477401043976,0.002
120,121,117.17521831521807,0.002
122,120,129.21109881141757,0.002
124,123,329.5854499209453,1.8538439732292646
125,126,59.25438390802816,0.002
124,125,57.45209116273924,0.002
127,128,70.61591973083739,0.002
107,127,58.19093588035489,0.002
128,129,215.0258197088984,0.002
129,26,94.69047083329042,0.002
115,130,43.95344996297065,0.002
111,131,41.93024292359711,0.002
131,114,123.01932430406558,0.002
130,132,284.197590076203,0.031668108084895424
133,134,462.29623900945097,0.002
19,133,11.076284903128832,0.002
121,135,23.116686672656986,0.002
136,101,1795.7038211703982,0.005011962381487838
137,138,570.6127295153013,0.002
25,139,381.52059170028497,0.015726543024218942
140,141,35.85014229004357,0.002
141,142,269.870909321598,0.002
143,144,60.722319643657215,0.002
145,146,108.82684919269238,0.002
147,148,50.28887623659774,0.002
149,150,27.67270589334199,0.002
151,152,20.080365733897448,0.002
148,145,632.5921935989882,0.002
144,153,318.73268398654506,0.015687126709010707
149,146,250.4644747780149,0.003992582185103471
150,143,375.3310132406125,0.002
152,147,281.0286050334637,0.002
153,23,1866.8297993420456,0.002
51,49,4563.642464812918,0.003944217834500734
80,154,94.66774505565895,0.002
155,156,92.43391783285124,0.002
157,158,67.50589240934013,0.002
159,160,13.604947903337305,0.002
155,161,2.0894428925703514,0.002
162,163,39.90307599204291,0.002
164,162,356.34491532380645,0.002
160,159,316.2109257166064,0.002
161,160,26.792721948286776,0.002
156,164,61.94991811136937,0.002
163,165,104.03864986938606,0.002
166,155,86.65189097276523,0.002
168,167,232.6771138233109,0.004297801290243675
169,170,319.2809927532144,0.002
97,169,30.261499164850367,0.002
171,172,2464.7456743078105,0.002028606866874482
172,173,22425.97116935336,0.023098219296200772
174,175,53.27243650914853,0.002
176,44,2405.301155322297,0.002
177,178,372.5342657045725,0.04294906931511191
179,177,48.068761452159634,0.002
180,179,58.867041090242594,0.002
181,182,1495.2864039684491,0.006018913818860552
183,184,405.2695638762815,0.002
184,185,44.23806344860279,0.002
186,185,1696.2782284400537,0.002
187,188,7213.536555512432,0.002218052113116851
190,189,457.1288375257901,0.0131254025286941
191,192,188.38486371035532,0.002
192,193,591.6396883204486,0.035494576199941834
195,194,226.2939452284636,0.039771280627564784
196,197,200.17511735942213,0.002
193,198,474.6480504960196,0.002
199,200,429.17365502726045,0.002
201,202,184.93222940489017,0.002
203,204,1055.5330828551423,0.0028421657726588846
205,206,235.60742955170008,0.002
175,207,85.98977997901993,0.002
208,14,36.6247575327582,0.002
23,208,318.75701029131073,0.002
209,210,198.19004997268263,0.002
211,187,6577.637114388062,0.0028885752846472784
212,172,2553.916376227685,0.00430711048427035
213,214,259.8649796860076,0.002
215,216,693.9350365626964,0.005764228334417877
217,151,253.24073529326583,0.002
142,217,204.54896055627893,0.002
218,22,65.99154781806953,0.002
219,218,187.5897310028953,0.002
24,220,655.6025438204117,0.0061012575953270165
221,222,162.68445521488815,0.002
