node_id,x,y,elevation_m
0,8736497.6,1964297.0,486
1,8737265.6,1964984.3,486
2,8741905.3,1963780.7,484
3,8742132.7,1964364.7,477
4,8731988.3,1975049.8,538
5,8733226.9,1974630.5,536
6,8736137.3,1968268.0,514
7,8737274.5,1967838.0,499
8,8737288.6,1971993.3,526
9,8736926.4,1971411.3,526
10,8730960.1,1972062.2,544
11,8730677.1,1972114.4,545
12,8738087.7,1976447.8,539
13,8736680.8,1975135.6,536
14,8743196.3,1967037.7,491
15,8743166.2,1966793.4,489
16,8732725.2,1971778.4,531
17,8734000.1,1972165.4,522
18,8743870.8,1971180.5,510
19,8744356.0,1970269.4,492
20,8730644.5,1975726.1,545
21,8730652.6,1975727.6,543
22,8730400.7,1975856.7,541
23,8731475.8,1975381.2,541
24,8730400.7,1975865.4,541
25,8728986.8,1979680.1,562
26,8729207.9,1978948.6,557
27,8731792.6,1975320.0,541
28,8731496.2,1975367.9,541
29,8731778.6,1975326.6,541
30,8744187.9,1965131.4,467
31,8744068.5,1965061.6,470
32,8734153.8,1968922.9,523
33,8734193.4,1968942.0,523
34,8734705.0,1969242.7,515
35,8731506.9,1967398.7,540
36,8740069.6,1969516.0,509
37,8740177.2,1969763.9,511
38,8731960.4,1970168.8,548
39,8732705.7,1970178.2,535
40,8730361.6,1969276.9,587
41,8732606.7,1968793.5,548
42,8732844.6,1970135.3,536
43,8732861.1,1970145.7,540
44,8732419.8,1961580.4,511
45,8732849.8,1962245.4,504
46,8734604.8,1964133.0,497
47,8734586.6,1963858.2,491
48,8736464.0,1964947.1,492
49,8736640.1,1964864.6,488
50,8734523.9,1971235.2,520
51,8734408.2,1971041.7,520
52,8734245.5,1971169.5,519
53,8746766.4,1988408.0,561
54,8746288.1,1988333.4,569
55,8746118.7,1988130.5,566
56,8745901.1,1988036.3,568
57,8747563.1,1967599.4,477
58,8747433.5,1966229.3,466
59,8747276.0,1966073.3,468
60,8747241.2,1966188.2,465
61,8728773.6,1975115.5,550
62,8728887.0,1975349.9,555
63,8733648.3,1962162.0,507
64,8733761.7,1961873.3,507
65,8734729.1,1972027.3,520
66,8735029.7,1971967.0,519
67,8735439.0,1970515.1,512
68,8735770.8,1968443.2,519
69,8734518.9,1969436.6,518
70,8735597.5,1969140.9,512
71,8740032.2,1968940.6,505
72,8739284.5,1967851.7,497
73,8739009.0,1966888.0,489
74,8739052.2,1966739.8,487
75,8739202.1,1967715.6,497
76,8739153.1,1967572.3,496
77,8747041.1,1968526.6,482
78,8747010.3,1967970.8,476
79,8747113.6,1968902.5,485
80,8747124.3,1968794.4,484
81,8747168.1,1968985.5,486
82,8729684.5,1990893.2,604
83,8729617.0,1990583.2,606
84,8729637.3,1990529.5,607
85,8729659.5,1990474.5,607
86,8735822.1,1968415.6,519
87,8735891.7,1968403.8,517
88,8736043.0,1968259.5,514
89,8739134.5,1967532.5,498
90,8739268.1,1967813.1,493
91,8738921.1,1967352.0,499
92,8742138.2,1964374.2,477
