node_id,land_type,area_m2
2,water,407319.5247068378
190,water,19878637.019224126
233,water,403928.9167749846
96,water,158611.32013165572
57,water,223301.7116682725
164,water,350423.98931144696
239,forest,46617.57457918257
239,forest,27720.07846647737
125,water,137724.06225450285
61,water,71988.18918498023
157,water,70567.17070889831
67,park,391377.7891482061
6,park,289371.5964089772
34,park,180703.52829408998
68,park,67608.34857527164
42,park,39228.90374998692
42,water,14756.19672903705
41,water,36218.162080703114
41,park,53279.00984520683
41,water,5995.523912370288
188,water,133305.98189046825
115,residential,1797.4503722188608
168,forest,20582.734826071388
168,forest,8582.249221214674
232,park,85185.59154660976
232,water,5100.535206401071
232,water,3786.7396312544715
62,water,184067.7498701423
8,park,7615.974284146919
91,park,10771.834569011698
14,water,69836.27460513057
233,commercial,88300.61425038868
95,water,47934.47209054011
232,commercial,39142.31787731809
232,commercial,49253.04977118995
232,commercial,24170.139269554722
232,commercial,14887.6169847982
232,residential,42737.52762018972
114,commercial,32348.326874301085
16,park,2015.937448498732
10,park,2008.3690236189568
16,park,1799.3536604503506
64,water,172993.05075427258
97,water,1387938.670158178
7,park,8998.605197319786
119,commercial,223787.35231065907
19,residential,11442.814688283292
233,residential,27915.545476842995
232,residential,2735.9796180856965
232,residential,15356.924836233724
162,residential,8266.929695889932
8,park,299.91448879385825
13,residential,7295.657383663238
42,commercial,12288.147830432124
114,park,7904.219336245792
244,residential,58506.38787921729
244,residential,76312.31532384316
244,residential,4661.122355758789
12,water,175625.50514789263
244,residential,14337.381054376623
232,commercial,25959.63610527465
232,commercial,12523.12105649113
232,residential,30466.718104150423
232,water,73169.51407146246
162,park,2543.71595384493
163,park,11389.49943343544
232,water,41293.387231613546
98,forest,4325685.818223181
201,residential,65491.812687352955
10,park,90501.00986914626
10,water,8334.657377256042
10,water,2314.7838634988925
11,water,8197.147592701185
171,water,120303.8653481192
232,commercial,12380.444694476058
232,commercial,1580.975296939422
232,residential,20273.12786975856
232,residential,1509.1182673985636
61,water,51046.30031772999
61,water,62839.83146426218
11,forest,4316.860524964079
232,forest,9635.318242391684
33,commercial,8466.00786291725
146,water,18426.29852695878
123,water,602441.5472392048
121,water,420416.42873781855
123,water,306007.9285403856
126,water,1399474.5114898817
68,commercial,15425.563517442923
68,commercial,7972.926846929106
47,park,4265.271442373266
47,park,4160.727538893175
47,park,3353.222733259366
34,water,13788.845792093201
34,water,12332.421246469768
33,water,6662.4747651974185
232,water,5587.142317925111
232,commercial,31711.86525681607
146,water,9819.982620148772
146,commercial,73584.02683843025
146,water,13550.19073855087
11,commercial,30707.008466153624
15,water,26436.039784447665
68,park,10821.821932506598
88,water,9438.946220075824
147,water,32726.869238237057
31,water,64675.350888026616
146,commercial,277935.87046883366
127,commercial,4354.923758993601
127,residential,93754.0594376477
18,commercial,9953.260566768973
232,commercial,820.9785773420518
233,commercial,733.6349831295277
233,commercial,16288.551312680225
233,commercial,1703.2360478938574
233,commercial,1265.7157555381286
61,commercial,1447.8824591830762
117,residential,1389518.5192149675
62,residential,550925.3632712202
61,residential,162386.82558344278
61,commercial,4565.326206158952
155,industrial,69073.68289805284
127,water,119258.57955636606
127,water,33074.20499484739
22,industrial,46927.74085185343
62,industrial,95624.83964430846
232,water,2645.746548908889
233,commercial,82916.37393773037
232,water,358.2337079183819
146,park,5569.477872137795
61,commercial,40500.19573323234
25,park,4248.366411280873
26,commercial,10600.958568022925
26,park,1654.9063545388067
227,water,35528.29957858859
25,water,71238.34529177807
26,commercial,2143.531273338082
26,commercial,4741.6089617034595
62,residential,166202.19266760422
24,commercial,33889.12203031278
26,water,67805.17049857849
232,commercial,23728.343225493307
32,commercial,211.30840297879502
62,park,2929.469358734725
163,park,2654.5962501634317
147,commercial,143516.40052948587
147,commercial,38827.94970043367
147,residential,48852.044548813166
147,commercial,28157.50848149342
147,residential,25045.45354713889
147,residential,31723.92067726642
147,residential,30839.420918167776
147,commercial,30366.46773255833
147,commercial,51837.1056949236
40,commercial,10681.423047923412
40,forest,6130.453260905404
19,park,3472.7184794058358
18,water,76773.61908736802
163,commercial,53203.77000386859
