node_id,area_m2,C_weighted,Tc_minutes,intensity_mm_hr,runoff_m3s
2,358473.81524921686,0.605,20.6,30.35,1.829733218906175
3,816756.9037848004,0.467,28.3,24.7,2.619491493969951
4,1178468.2031052127,0.591,32.6,22.53,4.361567752354458
5,1613.2693119082237,0.3,5.0,76.24,0.010249917886594441
6,2128307.138760283,0.6,40.9,19.43,6.8938602617003495
7,734621.8394153529,0.581,27.2,25.36,3.0048613185634636
8,727682.312687502,0.611,27.1,25.42,3.1385412518108002
10,15595.337953908296,0.8,6.2,66.51,0.23049172545325594
12,1490758.7198789446,0.589,35.7,21.25,5.178929868967876
13,23078.28494640271,0.121,7.2,60.29,0.04677402639709065
14,166772.23204312698,0.721,15.4,36.76,1.2282014172282762
15,4615.060015105022,0.6,5.0,76.24,0.05864363234006998
16,1209095.5643140464,0.628,32.9,22.39,4.723984130465615
17,19878637.01922413,0.1,96.8,12.63,6.976374830289841
18,858082.013534419,0.242,28.9,24.4,1.4078842280825146
19,8055.522182626253,0.6,5.0,76.24,0.10236163335667084
20,2679676.1043488467,0.332,44.7,18.35,4.536665768705785
22,7333.866171751718,0.21,5.0,76.24,0.03257838849892532
23,5007.984158739168,0.8,5.0,76.24,0.08484869992553751
25,205457.07974878812,0.7,16.6,34.89,1.3939819248668153
26,596887.1127398661,0.584,25.1,26.71,2.5867771066500422
27,945323.041797657,0.598,30.0,23.81,3.738520048481727
29,125575.33513054308,0.1,13.8,39.46,0.13764835994474267
30,1111373.985075166,0.263,31.9,22.87,1.8530955734022414
31,233605.3370363075,0.6,17.5,33.78,1.3153420615730522
32,315690.359681781,0.69,19.6,31.33,1.895252461660545
33,354358.3090248966,0.609,20.5,30.44,1.8243144475782802
34,16885.254283117894,0.282,6.4,65.2,0.0862591455242124
35,126988.28353270027,0.667,13.8,39.35,0.9258158070174548
36,175851.18238339332,0.1,15.7,36.27,0.1771802014603326
37,47753.82123986256,0.386,9.5,50.26,0.2573583984341785
38,3242169.8439724273,0.434,48.2,17.49,6.834349267906551
39,26436.039784447665,0.1,7.6,58.28,0.04279659889480436
40,32467.089088613837,0.786,8.2,55.36,0.39260168964424674
41,287679.5216593124,0.626,19.0,32.07,1.6042938175702735
42,5141433.420144225,0.687,57.5,15.59,15.299972405849617
43,228989.72183290042,0.693,17.4,33.95,1.496430093252822
44,112676.08557051244,0.37,13.2,40.55,0.4697089518806798
47,46927.74085185343,0.7,9.4,50.48,0.4606487807694708
48,953563.2485315914,0.7,30.1,23.76,4.405374553885711
50,500799.4093938742,0.529,23.5,27.91,2.0537320953474825
51,109823.02852707985,0.69,13.1,40.81,0.8592510933571262
52,275584.5965156246,0.69,18.6,32.42,1.7122055682738695
54,10826.924904014117,0.6,5.4,72.87,0.13148886463466705
56,39061.465975115636,0.608,8.8,52.85,0.34863330233568035
57,1558132.6151840475,0.602,36.3,21.01,5.474616155580701
58,371993.52652100736,0.611,20.9,30.07,1.8988164291412422
59,79798.302096202,0.455,11.6,44.2,0.4462923475688421
60,2071730.3898442807,0.596,40.5,19.57,6.708422316640632
62,864925.3480029023,0.6,29.0,24.35,3.5096877703029152
64,4716.510451706734,0.6,5.0,76.24,0.05993276446085238
65,19344.572849442084,0.552,6.7,63.02,0.18684648283514124
67,62174.9397937201,0.298,10.5,47.05,0.24211613265607684
68,63874.18453602995,0.3,10.6,46.73,0.248889357694464
69,27044.344559469173,0.418,7.6,57.95,0.18199298713276477
70,26608.787302439523,0.8,7.6,58.18,0.34404880214767447
71,48969.06302804834,0.1,9.6,49.95,0.06794169434585753
73,1364456.896012764,0.601,34.5,21.72,4.944470779409173
74,507687.09066736803,0.461,23.6,27.82,1.8076836172500836
75,2712248.0857985113,0.601,45.0,18.29,8.288629901623406
77,91529.99405061424,0.6,12.2,42.71,0.6515547916854807
79,36439.29847358946,0.6,8.6,53.78,0.32662984990477056
80,9564.03257104026,0.2,5.1,75.16,0.039937707154228654
81,506787.1608439348,0.641,23.6,27.83,2.5104034278777356
82,605609.9363693688,0.462,25.2,26.62,2.067848013131798
83,114.01785419733248,0.1,5.0,76.24,0.00024147107873886492
86,330460.7177637985,0.294,20.0,30.97,0.8358091089774298
88,1358.746605971594,0.1,5.0,76.24,0.0028776020298442724
89,293231.5983141103,0.8,19.1,31.92,2.0796907869817707
90,81367.3667667435,0.201,11.7,43.99,0.1999655000005388
91,828076.8644547355,0.458,28.5,24.61,2.590778713285196
92,1534036.9186529128,0.41,36.1,21.09,3.6862087503971512
93,296525.077196916,0.308,19.2,31.83,0.8081990324974634
94,1818105.0728646696,0.545,38.5,20.22,5.560126401469544
95,322541.38484448503,0.606,19.8,31.16,1.6912484463853712
96,422837.9616969669,0.6,22.0,29.12,2.0523087311709762
97,1686.0023228906336,0.6,5.0,76.24,0.021424055163853005
98,498888.9614743007,0.6,23.4,27.94,2.323256593576604
100,222188.81285100162,0.505,17.2,34.21,1.0663729785359686
101,401113.3827253714,0.597,21.5,29.51,1.9644149669579856
103,7577201.451560179,0.6,66.8,14.14,17.860213189270947
104,92492.45976069776,0.512,12.2,42.6,0.5608472091976089
105,94824.21200973856,0.611,12.4,42.33,0.6815164845803917
107,251998.26825695575,0.687,18.0,33.15,1.594707395844549
108,254603.85779262747,0.576,18.1,33.06,1.3463941789319684
110,1224.5143529782747,0.6,5.0,76.24,0.015559921057616515
111,73580.02229197047,0.689,11.2,45.11,0.6351481258791456
113,60781.84768528323,0.109,10.4,47.32,0.08745841190976145
114,32280.440875627683,0.7,8.2,55.44,0.34797088380921065
116,8563942.536379492,0.699,70.0,13.72,22.799364056412895
122,537660.3521317745,0.485,24.1,27.42,1.9871717002411424
123,163476.90213556073,0.678,15.2,36.94,1.137846362851689
126,1647067.427467776,0.662,37.1,20.72,6.280969700356952
127,11733.541540455706,0.6,5.5,71.42,0.13966038580546125
128,16099.710956847175,0.2,6.2,65.98,0.05901458512500811
129,417946.25033418153,0.589,21.9,29.21,1.9961926298756296
132,133624.4678690554,0.7,14.1,38.85,1.0094819732776907
133,1585.3638937446085,0.6,5.0,76.24,0.020145241233198764
134,201865.46023885184,0.1,16.5,35.04,0.19648877931454733
135,21878.39109489872,0.1,7.0,61.11,0.03713590739760646
136,350709.6128414954,0.58,20.5,30.52,1.7255140843996095
137,5212282.29261068,0.686,57.8,15.53,15.434334095043653
138,5432272.827015145,0.251,58.7,15.37,5.814207745464076
