from,to,flow_m3s
0,1,0.0
2,3,6.157306658047951
3,13,8.776798152017903
4,5,4.361567752354458
5,61,4.371817670241052
6,7,11.897682701635732
8,9,3.1385412518108
10,11,46.381747179283636
12,13,28.081724476606528
13,176,36.90529665502152
14,15,7.955532625006471
15,10,46.15125545383038
16,17,4.723984130465615
19,18,0.0014827519526736384
19,133,0.10087888140399716
20,21,4.536665768705785
21,421,4.536665768705785
22,23,4.970829188990796
23,208,6.727331207778195
24,25,0.0
24,52,0.0
24,220,0.0
25,139,1.3939819248668153
26,27,6.333655752604621
29,28,0.1376483599447426
30,12,22.90279460763865
31,30,21.049699034236408
32,33,1.895252461660545
35,34,0.9258158070174548
36,37,1.4348321954563688
37,230,1.6921905938905473
38,39,6.834349267906551
40,41,0.3926016896442467
42,43,15.299972405849616
44,15,38.13707919648384
45,46,0.6070455695142535
46,48,0.6070455695142535
47,45,0.6070455695142535
48,53,5.012420123399965
49,47,0.14639678874478268
51,50,0.7128543046123436
51,49,0.14639678874478268
53,54,5.012420123399965
54,52,5.143908988034632
56,55,0.3486333023356803
57,58,12.183038472221334
58,59,14.081854901362576
60,57,6.708422316640632
61,62,4.371817670241052
63,64,0.0
65,66,0.1868464828351412
66,69,0.1868464828351412
67,68,0.2421161326560768
69,70,0.3688394699679059
71,72,0.0679416943458575
72,441,0.0679416943458575
73,74,4.944470779409173
75,76,8.288629901623406
77,78,0.6515547916854807
79,80,0.3266298499047705
80,154,2.8769709849367353
81,80,2.510403427877736
83,82,6.394000972286605e-06
83,256,0.0002350770777665134
84,85,0.0002350770777665134
85,401,0.0002350770777665134
86,87,0.8358091089774298
88,89,0.0028776020298442
90,91,0.1999655000005388
92,93,3.6862087503971512
93,236,4.494407782894615
94,95,5.560126401469544
96,97,4.937885731474271
97,169,4.959309786638124
98,99,11.130724554083887
99,377,11.130724554083887
100,101,1.0663729785359686
102,103,0.0
104,105,0.5608472091976089
107,106,0.04269635069606993
107,127,1.552011045148479
108,109,1.3463941789319684
110,111,0.0155599210576165
111,131,0.6507080469367621
112,113,0.0
114,115,0.9986789307459727
115,130,0.9986789307459727
116,31,19.734356972663356
116,117,3.065007083749535
118,119,0.0
120,121,1.9871717002411424
121,135,1.9871717002411424
122,120,1.9871717002411424
124,123,0.0
124,125,0.0
125,126,0.0
127,128,1.6916714309539402
128,129,1.7506860160789484
129,26,3.746878645954578
130,132,0.9986789307459727
131,114,0.6507080469367621
133,134,0.12102412263719586
136,101,1.7255140843996095
137,138,15.434334095043653
140,141,0.2391759970419934
141,142,0.2391759970419934
142,217,0.2391759970419934
143,144,0.5062251446080364
144,153,0.5062251446080364
145,146,1.882674779014019
147,148,1.882674779014019
148,145,1.882674779014019
149,150,0.0
149,146,0.0
150,143,0.0
151,152,0.2391759970419934
152,147,0.2391759970419934
153,23,1.6716533188618616
155,156,0.0
155,161,0.0
156,164,0.0
157,158,2.53498317378722
160,159,0.0
161,160,0.0
162,163,1.660565518501321
163,165,2.477687072731764
164,162,1.660565518501321
166,155,0.0
168,167,9.722838586582885
169,170,4.959309786638124
171,172,6.798370601923199
172,173,14.076874543616643
174,175,0.4762450217093557
175,207,2.3642655702024733
176,44,37.66737024460316
177,178,3.0338115422843925
179,177,0.9838047883814232
180,179,0.9838047883814232
181,182,0.9684989032673884
183,184,2.540134212569063
184,185,5.623303518598432
186,185,0.06804399302327344
186,233,8.981218486148858
187,188,2.05414142281622
190,189,1.327770354426815
191,192,0.0
192,193,0.0577961012305188
193,198,0.3659898810608761
195,194,1.0064246226642055
196,197,0.0
199,200,1.6433258563232331
201,202,0.0
203,204,0.0
205,206,0.1938758306197252
208,14,6.727331207778195
209,210,1.0262688728764335
211,187,1.3340943288074676
212,172,6.743271999089248
213,214,8.001577368825085
214,278,8.405059381914192
215,216,9.648148386207902
216,269,9.648148386207902
217,151,0.2391759970419934
218,22,4.93825080049187
219,218,4.93825080049187
220,224,0.0
221,222,1.8248719049908575
223,221,0.765612477327688
224,223,0.0
225,226,9.651461348140652
226,227,9.651461348140652
227,228,9.651461348140652
229,140,0.2391759970419934
231,199,1.6433258563232331
232,231,0.2971164733461794
233,234,8.981218486148858
234,235,12.269606213486187
235,167,12.716010378785228
236,6,5.003822439935383
237,238,2.6945785563967832
238,239,2.6945785563967832
239,242,2.6945785563967832
240,241,3.113168718846771
241,243,3.113168718846771
242,240,2.6945785563967832
243,244,3.113168718846771
245,246,0.0
245,244,0.0
246,247,0.0
248,249,0.0229537979734123
249,250,0.0277793683265378
250,251,0.0277793683265378
253,252,0.0
253,248,0.0
254,255,1.9447078387267482
256,259,0.0002350770777665134
257,258,0.0002350770777665134
258,84,0.0002350770777665134
259,257,0.0002350770777665134
260,261,0.0002350770777665134
262,260,0.0002350770777665134
263,2,4.327573439141776
263,422,1.7596222735316476
264,265,16.330611354413705
265,266,16.5556597010309
267,268,11.646103903059235
268,264,14.833601720430927
269,270,9.648148386207902
270,271,9.648148386207902
271,272,9.648148386207902
272,273,9.648148386207902
273,274,10.762835765666953
274,275,11.529035262740988
275,267,11.646103903059235
276,277,8.516563206839491
277,215,9.18052524022204
278,276,8.405059381914192
280,279,0.3928085313206632
281,282,0.0
282,288,0.1536664621659133
284,283,0.0
284,281,0.0
285,286,0.1536664621659133
287,285,0.1536664621659133
288,287,0.1536664621659133
289,290,0.0
289,286,0.0
290,296,0.0
291,292,0.0
292,306,0.0
293,291,0.0
294,293,0.0
295,294,0.0
296,295,0.0
297,298,0.0
299,297,0.0
299,300,0.0
301,300,0.0
302,301,0.0
303,302,0.0
304,303,0.0
305,304,0.0
306,305,0.0
307,308,0.29571649533865585
308,311,0.29571649533865585
309,310,2.012692513104421
311,314,0.29571649533865585
312,309,2.012692513104421
313,307,0.29571649533865585
314,318,0.29571649533865585
315,316,0.0
317,315,0.0
318,319,0.29571649533865585
319,320,0.29571649533865585
320,321,0.29571649533865585
321,328,0.29571649533865585
322,323,0.0727369521102561
324,322,0.0727369521102561
325,326,0.29571649533865585
326,350,0.29571649533865585
327,325,0.29571649533865585
328,327,0.29571649533865585
329,330,0.0
331,332,0.0
333,334,0.0
334,331,0.0
335,336,0.0
336,337,0.0
338,329,0.0
339,340,0.0
340,335,0.0
341,324,0.0727369521102561
342,339,0.0
343,342,0.0
343,317,0.0
344,343,0.0
345,346,0.29571649533865585
346,347,0.29571649533865585
347,313,0.29571649533865585
348,345,0.19954730498691564
348,349,0.06166500056344917
350,351,0.29571649533865585
353,352,0.0
354,355,0.4910603602238061
355,356,0.4910603602238061
356,357,1.8657537456955733
357,352,1.8657537456955733
358,359,0.0241451132005252
359,360,0.0241451132005252
360,361,0.0241451132005252
361,362,0.0241451132005252
362,363,0.0241451132005252
363,365,0.0241451132005252
364,312,2.012692513104421
365,366,0.0241451132005252
367,368,2.012692513104421
368,369,2.012692513104421
369,370,2.012692513104421
370,364,2.012692513104421
371,372,0.0
374,373,0.0269006584360171
375,376,0.0
377,378,11.130724554083887
378,379,11.130724554083887
380,381,2.885577000303295
381,382,2.885577000303295
382,96,2.885577000303295
383,230,0.0
383,229,0.0
