year,rain_24hr,rain_3hr,rain_6hr
1990,43.95,19.777500000000003,28.128000000000004
1991,62.39,28.0755,39.9296
1992,39.52,17.784000000000002,25.292800000000003
1993,41.48,18.666,26.5472
1994,53.45,24.052500000000002,34.208000000000006
1995,36.88,16.596,23.6032
1996,72.5,32.625,46.4
1997,56.08,25.236,35.8912
1998,52.24,23.508000000000003,33.4336
1999,29.96,13.482000000000001,19.174400000000002
2000,136.23,61.3035,87.18719999999999
2001,80.53,36.2385,51.5392
2002,43.44,19.548,27.8016
2003,36.83,16.5735,23.5712
2004,52.07,23.4315,33.3248
2005,104.59,47.0655,66.9376
2006,84.02,37.809,53.7728
2007,40.62,18.279,25.9968
2008,125.89,56.6505,80.56960000000001
2009,94.21,42.3945,60.294399999999996
2010,51.08,22.986,32.6912
2011,49.97,22.4865,31.9808
2012,50.63,22.7835,32.403200000000005
2013,31.76,14.292000000000002,20.326400000000003
2014,37.34,16.803,23.897600000000004
2015,21.51,9.6795,13.7664
2016,46.17,20.776500000000002,29.5488
2017,55.24,24.858,35.3536
2018,29.33,13.1985,18.7712
2019,38.78,17.451,24.819200000000002
2020,48.39,21.7755,30.9696
2021,48.16,21.672,30.8224
2022,57.77,25.9965,36.9728
2023,56.21,25.2945,35.9744
2024,41.88,18.846,26.803200000000004
