from,to,flow_m3s,length_m,slope,required_diameter_m,P_clog,Q_effective,flooding
20,21,0.0,8.196797017945935,0.2439977463906001,0.1,0.9333861926251716,0.0,False
20,22,0.0,304.64275104439326,0.0131301335294766,0.1,0.9333861926251716,0.0,False
21,23,0.0,1013.7197545315452,0.0019729318591845,0.1,0.9333861926251716,0.0,False
54,53,0.0,508.4686395361341,0.0157335170312533,0.1,0.9333861926251716,0.0,False
54,179,0.0,13.830140337206512,0.0001,0.1,0.9333861926251716,0.0,False
56,55,0.0,270.9079056339939,0.0073825826356727,0.1,0.9333861926251716,0.0,False
56,216,0.0,18.083385709027123,0.0001,0.1,0.9333861926251716,0.0,False
59,60,0.0,120.82807540400069,0.0248286665989605,0.1,0.9333861926251716,0.0,False
77,78,0.0,725.477401043976,0.0082704161306277,0.1,0.9333861926251716,0.0,False
83,82,0.0,329.5854499209453,0.0060682290449403,0.1,0.9333861926251716,0.0,False
84,85,0.0,59.25438390802816,0.0001,0.1,0.9333861926251716,0.0,False
84,83,0.0,57.45209116273924,0.0174058068168031,0.1,0.9333861926251716,0.0,False
94,80,0.0,23.116686672656986,0.0432587945738273,0.1,0.9333861926251716,0.0,False
102,101,0.0,269.870909321598,0.003705475341947,0.1,0.9333861926251716,0.0,False
102,151,0.0,204.54896055627893,0.0195552203693523,0.1,0.9333861926251716,0.0,False
111,112,0.0,20.080365733897448,0.0497998897655489,0.1,0.9333861926251716,0.0,False
112,107,0.0,281.0286050334637,0.0001,0.1,0.9333861926251716,0.0,False
122,120,0.0,48.068761452159634,0.020803531644876,0.1,0.9333861926251716,0.0,False
122,123,0.0,58.867041090242594,0.0509623032589837,0.1,0.9333861926251716,0.0,False
133,134,0.0,226.2939452284636,0.0132570935425215,0.1,0.9333861926251716,0.0,False
